Date	Price	Open	High	Low	Change %
17-Nov-16	6.419	6.434	6.434	6.419	-0.42
16-Nov-16	6.446	6.429	6.446	6.429	-1.35
15-Nov-16	6.534	6.64	6.64	6.534	-2.85
11-Nov-16	6.726	6.685	6.726	6.685	1.01
10-Nov-16	6.659	6.637	6.659	6.637	-0.13
9-Nov-16	6.668	6.677	6.677	6.668	-1.93
8-Nov-16	6.799	6.831	6.831	6.799	-0.53
7-Nov-16	6.835	6.835	6.835	6.835	-0.1
4-Nov-16	6.842	6.82	6.842	6.82	0.31
3-Nov-16	6.821	6.809	6.821	6.809	-1.17
2-Nov-16	6.902	6.916	6.916	6.902	-0.13
1-Nov-16	6.911	6.886	6.911	6.886	0.36
28-Oct-16	6.886	6.906	6.906	6.886	-0.06
27-Oct-16	6.89	6.878	6.89	6.878	0.26
26-Oct-16	6.872	6.868	6.872	6.868	0.01
25-Oct-16	6.871	6.86	6.871	6.86	0.22
24-Oct-16	6.856	6.832	6.856	6.832	0.09
21-Oct-16	6.85	6.838	6.85	6.838	0.01
20-Oct-16	6.849	6.833	6.849	6.833	0.44
19-Oct-16	6.819	6.819	6.819	6.819	0.06
18-Oct-16	6.815	6.819	6.819	6.815	-0.44
17-Oct-16	6.845	6.855	6.855	6.845	-0.13
15-Oct-16	6.854	6.854	6.854	6.854	0
14-Oct-16	6.854	6.831	6.854	6.831	0.35
13-Oct-16	6.83	6.828	6.83	6.828	0.16
10-Oct-16	6.819	6.812	6.819	6.812	-0.44
7-Oct-16	6.849	6.835	6.849	6.835	0.38
6-Oct-16	6.823	6.82	6.823	6.82	0.37
5-Oct-16	6.798	6.821	6.821	6.798	-0.63
4-Oct-16	6.841	6.907	6.907	6.841	-0.86
3-Oct-16	6.9	6.913	6.913	6.9	-0.89
30-Sep-16	6.962	6.975	6.975	6.962	-0.76
29-Sep-16	7.015	6.935	7.015	6.935	1.33
28-Sep-16	6.923	6.931	6.931	6.923	-0.19
27-Sep-16	6.936	6.918	6.936	6.918	0
26-Sep-16	6.936	6.933	6.936	6.933	-0.43
25-Sep-16	6.966	6.966	6.966	6.966	0
24-Sep-16	6.966	6.966	6.966	6.966	0
23-Sep-16	6.966	6.96	6.966	6.96	-0.16
22-Sep-16	6.977	6.982	6.982	6.977	-0.89
21-Sep-16	7.04	7.048	7.048	7.04	-0.35
20-Sep-16	7.065	7.062	7.065	7.062	0.16
19-Sep-16	7.054	7.051	7.054	7.051	0.03
17-Sep-16	7.052	7.052	7.052	7.052	0
16-Sep-16	7.052	7.06	7.06	7.052	-0.21
15-Sep-16	7.067	7.064	7.067	7.064	-0.21
14-Sep-16	7.082	7.085	7.085	7.082	-0.04
12-Sep-16	7.085	7.085	7.085	7.085	0.37
9-Sep-16	7.059	7.044	7.059	7.044	0.2
8-Sep-16	7.045	7.042	7.045	7.042	-0.14
7-Sep-16	7.055	7.055	7.055	7.055	-0.59
6-Sep-16	7.097	7.096	7.097	7.096	-0.31
2-Sep-16	7.119	7.109	7.119	7.109	-0.01
1-Sep-16	7.12	7.111	7.12	7.111	0.14
31-Aug-16	7.11	7.101	7.11	7.101	0
30-Aug-16	7.11	7.11	7.11	7.11	-0.18
29-Aug-16	7.123	7.142	7.142	7.123	-0.08
26-Aug-16	7.129	7.124	7.129	7.124	0.08
25-Aug-16	7.123	7.12	7.123	7.12	-0.18
24-Aug-16	7.136	7.155	7.155	7.136	-0.31
23-Aug-16	7.158	7.161	7.161	7.158	0.01
22-Aug-16	7.157	7.159	7.159	7.157	0.77
19-Aug-16	7.102	7.135	7.135	7.102	-0.56
18-Aug-16	7.142	7.117	7.142	7.117	0.51
16-Aug-16	7.106	7.1	7.106	7.1	0.04
14-Aug-16	7.103	7.103	7.103	7.103	0
13-Aug-16	7.103	7.103	7.103	7.103	0
12-Aug-16	7.103	7.088	7.103	7.088	0.28
11-Aug-16	7.083	7.083	7.083	7.083	-0.25
10-Aug-16	7.101	7.082	7.101	7.082	-0.34
9-Aug-16	7.125	7.121	7.125	7.121	-0.67
8-Aug-16	7.173	7.185	7.185	7.173	0.07
6-Aug-16	7.168	7.168	7.168	7.168	0
5-Aug-16	7.168	7.16	7.168	7.16	-0.06
4-Aug-16	7.172	7.178	7.178	7.172	-0.33
3-Aug-16	7.196	7.19	7.196	7.19	0.29
2-Aug-16	7.175	7.162	7.175	7.162	0.52
1-Aug-16	7.138	7.128	7.138	7.128	-0.36
29-Jul-16	7.164	7.19	7.19	7.164	-0.36
28-Jul-16	7.19	7.217	7.217	7.19	-0.87
27-Jul-16	7.253	7.247	7.253	7.247	0.04
26-Jul-16	7.25	7.252	7.252	7.25	0.01
25-Jul-16	7.249	7.237	7.249	7.237	-0.03
22-Jul-16	7.251	7.242	7.251	7.242	-0.18
21-Jul-16	7.264	7.273	7.273	7.264	-0.08
20-Jul-16	7.27	7.269	7.27	7.269	-0.16
19-Jul-16	7.282	7.273	7.282	7.273	-0.16
18-Jul-16	7.294	7.286	7.294	7.286	0.3
15-Jul-16	7.272	7.282	7.282	7.272	-0.21
14-Jul-16	7.287	7.288	7.288	7.287	0.04
13-Jul-16	7.284	7.303	7.303	7.284	-0.72
